Date,Open_Listings_0_2,Open_Listings_3_5,Open_Listings_6_10,Open_Listings_11_15,Open_Listings_16
12-09-2018,56892,51128,11514,8595,14206
12-10-2018,52188,55149,25572,12281,32272
12-11-2018,53586,66500,31522,25438,14617
12-12-2018,52341,52417,9364,30120,31064
12-13-2018,55388,63419,29019,18073,11396
12-14-2018,50032,61750,18577,26741,10814
12-15-2018,56582,67316,17071,32449,39391
12-16-2018,58210,69261,22520,27206,39316
12-17-2018,58069,65408,31064,27599,31244
12-18-2018,51564,53824,29231,33447,36440
12-19-2018,56489,65219,31156,12958,11965
12-20-2018,50043,50771,17993,28711,22336
12-21-2018,52454,66097,33353,33286,26684
12-22-2018,59749,50581,32110,5322,7086
12-23-2018,54011,69011,20618,22224,9709
12-24-2018,53958,61201,27220,30386,12524
12-25-2018,54074,65934,7988,23964,12110
12-26-2018,52221,53708,9444,17214,39205
12-27-2018,57188,58057,29345,29540,34754
12-28-2018,54965,65532,9628,30244,37694
12-29-2018,55913,67133,14627,9362,7393
12-30-2018,54414,68558,15528,13285,31742
12-31-2018,53077,58030,17091,9423,27462
01-01-2019,58777,55561,20710,7972,29177
01-02-2019,56691,56322,25942,11063,26614
01-03-2019,56761,55815,27441,10027,25090
01-04-2019,56108,62211,15359,15176,15428
01-05-2019,59087,67001,34800,29897,33598
01-06-2019,53693,62672,34703,25690,32380
01-07-2019,55392,67003,30579,32765,32128
01-08-2019,56611,55269,20513,9086,15143
01-09-2019,50986,66595,24083,12138,33123
01-10-2019,59972,69171,13725,25665,9349
01-11-2019,52401,66832,10514,34751,37547
01-12-2019,50419,57425,28167,10312,31041
01-13-2019,52432,67029,27828,19608,24899
01-14-2019,58904,67266,34769,7301,36869
01-15-2019,50041,58152,27629,27512,38146
01-16-2019,51894,56103,21649,14356,35458
01-17-2019,53422,59156,10180,11337,21111
01-18-2019,51337,55859,34087,22066,20576
01-19-2019,52984,61136,13702,31014,5513
01-20-2019,58249,69431,32945,12004,17829
01-21-2019,56925,56062,21062,10379,16694
01-22-2019,51859,54455,8975,34441,11333
01-23-2019,54193,57336,10351,30464,38680
01-24-2019,52610,51382,29030,4656,12392
01-25-2019,56481,61507,22822,29022,17142
01-26-2019,51057,67241,25018,21085,36937
01-27-2019,52883,51372,11664,12174,22764
01-28-2019,56928,61874,19882,6137,10705
01-29-2019,52886,66505,9231,10492,29137
01-30-2019,50107,60005,12099,7801,27770
01-31-2019,57534,68289,33860,25846,20489
02-01-2019,53515,66796,28689,18318,13381
02-02-2019,56401,62129,19276,22539,16813
02-03-2019,52476,54974,24391,27218,26850
02-04-2019,52998,52960,25006,22912,11566
02-05-2019,55793,62741,13892,24197,19685
02-06-2019,51498,54013,31898,18366,6463
02-07-2019,55083,50037,27614,31134,12595
02-08-2019,58381,69463,32032,4213,15468
02-09-2019,54627,59110,30742,33566,33928
02-10-2019,58366,54676,7435,14327,12254
02-11-2019,57887,68280,11791,10054,24144
02-12-2019,51531,52941,20281,16261,20965
02-13-2019,56556,56294,26829,18864,28991
02-14-2019,59055,53389,12979,34549,5190
02-15-2019,56534,61345,9511,28667,34095
02-16-2019,56765,64250,8745,18616,10957
02-17-2019,54148,52810,13902,29482,19832
02-18-2019,56482,60210,20189,34258,7031
02-19-2019,57418,65878,20426,5763,27248
02-20-2019,54741,58546,9908,24634,38723
02-21-2019,56739,56543,18823,11454,18374
02-22-2019,51316,50688,23345,12065,15230
02-23-2019,58349,66140,26246,5551,26135
02-24-2019,57279,62994,14779,15784,6511
02-25-2019,51911,65652,34045,17344,30910
02-26-2019,55211,60848,8483,28730,9091
02-27-2019,50827,67866,30941,30224,15036
02-28-2019,55374,65879,29224,15099,24712
03-01-2019,54181,63254,26361,10940,19886
03-02-2019,58788,58211,15453,13097,36400
03-03-2019,51910,58515,22154,11267,13584
03-04-2019,55636,69690,11090,30031,19305
03-05-2019,57588,56635,13932,26475,38830
03-06-2019,59333,63992,21538,23876,33634
03-07-2019,54581,57322,34028,30136,29128
03-08-2019,58963,54096,10927,4990,7304
03-09-2019,53142,66528,33685,18088,22132
03-10-2019,56252,63981,18030,10743,26547
03-11-2019,55622,64866,34703,20696,23643
03-12-2019,55384,51252,34224,33254,24075
03-13-2019,50423,54933,26213,5479,15467
03-14-2019,51991,61239,13722,31983,16499
03-15-2019,59102,66374,11664,13170,36229
03-16-2019,50688,55495,32137,29615,23048
03-17-2019,54991,50947,11157,32968,32764
03-18-2019,52354,52393,21752,22312,11283
03-19-2019,51722,65559,32945,17310,31027
03-20-2019,53717,52256,22575,13242,32291
03-21-2019,59763,53271,12794,10523,31914
03-22-2019,52914,51157,24558,34985,37429
03-23-2019,53569,66522,13861,9994,27837
03-24-2019,58004,56876,16289,26619,38669
03-25-2019,58995,55320,19178,22838,23716
03-26-2019,57593,57637,25948,28413,24060
03-27-2019,54041,60094,33519,12676,13707
03-28-2019,57834,63027,13244,23169,33950
03-29-2019,58106,54285,18701,6020,27008
03-30-2019,51360,60030,29348,14628,36310
03-31-2019,58157,67967,10763,24738,18380
04-01-2019,56714,52579,23133,19294,38210
04-02-2019,51218,69031,31264,32178,17451
04-03-2019,51496,56554,23271,7790,9039
04-04-2019,52812,53044,9563,23220,29665
04-05-2019,55784,53977,26218,14974,24178
04-06-2019,50979,63365,9541,5884,33053
04-07-2019,50876,59729,24900,6671,34253
04-08-2019,56081,57715,18972,14236,31625
04-09-2019,50703,54603,27035,27875,11828
04-10-2019,52043,51010,32917,4372,21238
04-11-2019,52348,52570,14352,22660,38031
04-12-2019,55182,63018,10915,32957,23832
04-13-2019,58254,54088,23607,21023,30553
04-14-2019,50351,66512,28668,20218,10081
04-15-2019,55427,66864,25848,9218,25117
04-16-2019,50353,51227,27944,6104,33910
04-17-2019,58009,50162,22835,13608,11551
04-18-2019,55308,62352,7865,8318,15200
04-19-2019,55242,67329,11399,18012,11439
04-20-2019,52553,61926,24926,9627,28207
04-21-2019,50230,56405,30685,16231,30810
04-22-2019,50867,56711,29164,24081,23831
04-23-2019,58969,52323,18036,17051,6820
04-24-2019,52623,57369,15326,8494,26547
04-25-2019,58441,62104,17496,13159,28042
04-26-2019,54572,68578,18319,20950,33671
04-27-2019,56816,61688,24748,29112,16976
04-28-2019,58388,56816,10277,18455,26812
04-29-2019,53992,58468,8454,9563,9357
04-30-2019,50664,57347,10747,17721,6282
05-01-2019,53044,55371,34467,27548,35570
05-02-2019,53971,61436,11090,23079,28452
05-03-2019,50427,52558,32768,8626,11154
05-04-2019,54539,52571,32804,5464,38095
05-05-2019,57473,52699,33321,11188,8606
05-06-2019,52598,51532,11149,20455,25949
05-07-2019,57370,50534,26472,22574,24765
05-08-2019,51007,56166,34718,7416,26440
05-09-2019,59457,61432,22281,26571,19830
05-10-2019,50064,56021,9324,15616,38837
05-11-2019,57309,55225,27114,16209,15836
05-12-2019,58107,64207,30239,9743,23512
05-13-2019,54406,58231,31006,32033,31958
05-14-2019,51179,50473,14097,4002,38972
05-15-2019,53728,69514,31673,23418,29143
05-16-2019,51522,68311,33042,22797,12696
05-17-2019,57604,67699,16276,32398,29675
05-18-2019,55538,54479,9530,16137,8533
05-19-2019,55738,66667,16120,16344,8651
05-20-2019,52087,57669,19815,17241,39360
05-21-2019,51256,65852,23924,25989,26183
05-22-2019,52189,51710,28997,21118,18493
05-23-2019,52607,61483,27934,16478,29080
05-24-2019,50270,51938,34693,15297,11957
05-25-2019,58541,65714,21418,4575,15839
05-26-2019,54989,66766,28311,32617,32272
05-27-2019,51423,52026,33635,6822,33989
05-28-2019,57083,52494,15323,34343,24125
05-29-2019,52720,67639,28572,20566,25998
05-30-2019,51727,61736,14420,17650,22753
05-31-2019,52471,60694,32095,30555,31565
06-01-2019,50429,64942,11358,17116,14385
06-02-2019,50335,55059,21859,21293,11611
06-03-2019,50476,62408,13278,27672,37992
06-04-2019,59873,65536,30862,34201,12733
06-05-2019,59535,59346,9514,6969,27098
06-06-2019,54926,67537,15827,18660,21379
06-07-2019,56044,69101,30807,5324,36581
06-08-2019,59511,57939,19183,4260,32046
06-09-2019,57838,56276,7612,17835,26418
06-10-2019,51794,67299,8930,20626,9394
06-11-2019,57887,50378,18063,29622,8009
06-12-2019,52361,51225,13651,4543,29951
06-13-2019,56451,56539,29115,34920,34243
06-14-2019,54896,52915,32801,29104,36145
06-15-2019,58397,59211,31766,15340,31158
06-16-2019,58942,56186,20579,9055,30561
06-17-2019,56161,50431,23677,15562,33427
06-18-2019,54122,64303,11596,20768,7557
06-19-2019,57077,50633,24272,22993,25613
06-20-2019,59806,54202,25217,12292,16872
06-21-2019,55820,68319,22107,27231,23943
06-22-2019,54928,66957,13510,33035,15413
06-23-2019,51811,57553,26910,24981,15525
06-24-2019,57753,56369,13842,18082,35591
06-25-2019,58928,68540,21869,25253,27182
06-26-2019,52595,60117,7854,6090,31929
06-27-2019,53152,57082,7262,15279,9409
06-28-2019,59736,57916,8511,11793,16230
06-29-2019,58225,60933,7876,26560,12142
06-30-2019,50198,63527,28384,22304,30659
07-01-2019,51360,53602,12533,25425,16546
07-02-2019,50331,61213,33947,17719,24071
07-03-2019,50213,54649,14850,20593,36980
07-04-2019,52811,60492,22571,6649,15029
07-05-2019,58783,56760,9583,33542,21507
07-06-2019,54072,67782,9504,19797,23731
07-07-2019,57644,57493,31839,20344,30128
07-08-2019,50421,51159,21547,5919,24839
07-09-2019,52097,62689,25529,34709,37754
07-10-2019,50938,50001,18655,26525,9717
07-11-2019,58209,60676,32791,10572,7092
07-12-2019,58581,59233,24229,7489,19917
07-13-2019,59916,54953,20954,29163,14335
07-14-2019,57897,66552,13584,29949,17212
07-15-2019,51983,57640,33161,17265,21985
07-16-2019,58879,57801,23900,12233,8850
07-17-2019,51289,68090,10892,22549,21300
07-18-2019,59449,62161,27766,27988,30586
07-19-2019,58443,68549,25542,25645,36911
07-20-2019,51047,55500,24076,13846,9229
07-21-2019,59801,61065,30624,17843,24710
07-22-2019,51910,51841,30330,6087,23775
07-23-2019,56309,53046,21175,28263,7472
07-24-2019,54638,52953,16962,29377,19255
07-25-2019,56060,50596,12160,31460,20951
07-26-2019,59323,52565,26964,17246,15536
07-27-2019,55915,53066,14949,13107,38928
07-28-2019,51092,61203,32161,17109,13795
07-29-2019,58680,54967,8989,14647,12432
07-30-2019,53776,51186,12880,18873,13936
07-31-2019,54312,54756,11108,33124,24829
08-01-2019,56287,68853,29467,20154,31047
08-02-2019,50104,57850,25165,11379,32823
08-03-2019,59248,66449,30014,28702,23019
08-04-2019,57897,53974,7395,21081,13446
08-05-2019,59601,52627,7732,17151,23909
08-06-2019,59035,58615,30321,13690,19521
08-07-2019,56044,55024,17139,9050,15589
08-08-2019,56012,53382,16721,21395,6789
08-09-2019,57997,67335,19690,31388,27906
08-10-2019,55576,50676,10443,8740,24311
08-11-2019,52395,66803,28035,19198,24352
08-12-2019,51652,50785,23695,4241,12644
08-13-2019,52649,65444,32501,16368,20137
08-14-2019,58790,62689,27450,21773,39893
08-15-2019,50852,52995,33044,32392,9322
08-16-2019,52188,58177,12482,18147,31800
08-17-2019,51239,64015,27505,22444,21194
08-18-2019,58806,68721,34677,25696,10413
08-19-2019,59738,52175,9579,16167,22402
08-20-2019,53848,58854,22442,18173,30386
08-21-2019,51210,57223,18222,32557,9242
08-22-2019,57327,63024,20295,8055,13062
08-23-2019,54096,63948,19138,20098,15385
08-24-2019,58580,65991,8871,12833,36210
08-25-2019,57980,66434,23136,6406,27664
08-26-2019,50974,62618,14510,19941,35395
08-27-2019,56367,67738,18257,17932,10341
08-28-2019,50899,50229,31930,26997,27919
08-29-2019,57409,66618,31124,30455,9602
08-30-2019,51717,66600,15063,11580,14196
08-31-2019,54262,55045,34688,18223,21343
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
